season,Team,age,pw,pl,sos,srs,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,attend,attend_g,W,L,W/L%,MOV/A,ORtg/A,DRtg/A,NRtg/A,Rk,playoffs
2021,Detroit Pistons,24.5,26.0,46.0,0.09,-4.38,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,14250.0,396.0,20,52,0.278,-4.38,108.93,113.48,-4.55,25,0
2020,Detroit Pistons,25.9,26.0,40.0,-0.82,-4.38,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,509469.0,15294.0,20,46,0.303,-4.38,109.77,114.23,-4.45,24,0
2019,Detroit Pistons,26.9,40.0,42.0,-0.31,-0.56,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,675963.0,16487.0,41,41,0.5,-0.55,109.86,110.38,-0.53,17,1
2018,Detroit Pistons,25.9,41.0,41.0,-0.11,-0.26,96.2,0.227,0.333,0.543,0.512,12.3,22.7,0.169,0.524,13.7,78.5,0.172,713945.0,17413.0,39,43,0.476,-0.26,107.84,108.14,-0.3,19,0
2017,Detroit Pistons,25.4,38.0,44.0,-0.17,-1.29,95.0,0.218,0.263,0.521,0.492,10.9,24.1,0.157,0.516,12.1,81.2,0.197,655141.0,15979.0,37,45,0.451,-1.29,106.39,107.93,-1.54,21,0
2016,Detroit Pistons,25.0,43.0,39.0,-0.18,0.43,95.1,0.296,0.303,0.522,0.491,12.2,27.0,0.197,0.504,12.5,79.3,0.196,677138.0,16516.0,44,38,0.537,0.43,106.88,106.48,0.4,14,1
2015,Detroit Pistons,25.9,38.0,44.0,-0.39,-1.39,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192,625917.0,15266.0,32,50,0.39,-1.39,106.23,107.77,-1.54,20,0
2014,Detroit Pistons,24.7,31.0,51.0,-0.48,-4.13,94.9,0.296,0.222,0.514,0.482,12.9,31.4,0.199,0.52,13.8,73.4,0.218,616005.0,15025.0,29,53,0.354,-4.14,106.66,111.07,-4.41,24,0
2013,Detroit Pistons,25.3,29.0,53.0,-0.34,-4.33,90.8,0.282,0.217,0.521,0.487,14.3,28.3,0.197,0.505,13.1,73.0,0.209,606094.0,14685.0,29,53,0.354,-4.32,104.56,109.37,-4.82,26,0
2012,Detroit Pistons,26.3,22.0,44.0,-0.4,-5.19,89.2,0.279,0.175,0.51,0.468,15.0,28.1,0.21,0.5,14.2,72.8,0.226,475638.0,14413.0,25,41,0.379,-5.18,102.33,108.11,-5.78,27,0
2011,Detroit Pistons,27.2,31.0,51.0,-0.18,-3.78,89.2,0.279,0.189,0.533,0.495,12.5,27.4,0.206,0.526,13.8,72.1,0.235,683080.0,16660.0,30,52,0.366,-3.78,108.65,112.98,-4.33,23,0
2022,Golden State Warriors,27.6,55.0,27.0,-0.02,5.52,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,0.509,13.0,78.7,0.201,740624.0,18064.0,53,29,0.646,5.52,113.24,107.62,5.62,4,0
2021,Golden State Warriors,26.7,38.0,34.0,0.04,1.1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,33457.0,929.0,39,33,0.542,1.1,111.61,110.47,1.14,14,0
2020,Golden State Warriors,24.4,16.0,49.0,0.59,-8.12,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,614176.0,18064.0,15,50,0.231,-8.12,105.98,114.11,-8.13,30,0
2019,Golden State Warriors,28.4,56.0,26.0,-0.04,6.42,100.9,0.227,0.384,0.596,0.565,12.6,22.5,0.182,0.508,11.7,77.1,0.205,803436.0,19596.0,57,25,0.695,6.42,116.6,110.24,6.37,2,1
2018,Golden State Warriors,28.8,56.0,26.0,-0.19,5.79,99.6,0.239,0.339,0.603,0.569,14.1,21.0,0.195,0.504,12.6,76.3,0.186,803436.0,19596.0,58,24,0.707,5.79,114.33,108.62,5.7,3,1
2017,Golden State Warriors,28.2,67.0,15.0,-0.28,11.35,99.8,0.259,0.359,0.597,0.563,13.2,22.8,0.204,0.486,13.5,74.9,0.198,803436.0,19596.0,67,15,0.817,11.35,116.02,104.61,11.41,1,1
